date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:58:10	37779/37779	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%2261dd5d5c-9393%22	https://layerdrops.com/notechhtml/main-html/assets/vendors/isotope/isotope.js	/home/tp/websites/braino/layerdrops.com/notechhtml/main-html/assets/vendors/isotope/isotope.js	(from https://layerdrops.com/notechhtml/main-html/index-dark.html)
17:58:10	6300/6300	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%2261dd5d6a-189c%22	https://layerdrops.com/notechhtml/main-html/assets/vendors/wow/wow.js	/home/tp/websites/braino/layerdrops.com/notechhtml/main-html/assets/vendors/wow/wow.js	(from https://layerdrops.com/notechhtml/main-html/index-dark.html)
17:58:10	6340/6340	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%2261dd5d58-18c4%22	https://layerdrops.com/notechhtml/main-html/assets/vendors/countdown/countdown.min.js	/home/tp/websites/braino/layerdrops.com/notechhtml/main-html/assets/vendors/countdown/countdown.min.js	(from https://layerdrops.com/notechhtml/main-html/index-dark.html)
17:58:12	136516/136516	---MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%2261dd5d5a-21544%22	https://layerdrops.com/notechhtml/main-html/assets/vendors/fontawesome/webfonts/fa-brands-400.ttf	/home/tp/websites/braino/layerdrops.com/notechhtml/main-html/assets/vendors/fontawesome/webfonts/fa-brands-400.ttf	(from https://layerdrops.com/notechhtml/main-html/assets/vendors/fontawesome/css/all.min.css)
17:58:12	19359/19359	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%2261dd5d58-4b9f%22	https://layerdrops.com/notechhtml/main-html/assets/vendors/bxslider/jquery.bxslider.min.js	/home/tp/websites/braino/layerdrops.com/notechhtml/main-html/assets/vendors/bxslider/jquery.bxslider.min.js	(from https://layerdrops.com/notechhtml/main-html/index-dark.html)
17:58:12	57744/57744	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%2261dd5d58-e190%22	https://layerdrops.com/notechhtml/main-html/assets/vendors/bootstrap-select/js/bootstrap-select.min.js	/home/tp/websites/braino/layerdrops.com/notechhtml/main-html/assets/vendors/bootstrap-select/js/bootstrap-select.min.js	(from https://layerdrops.com/notechhtml/main-html/index-dark.html)
17:58:12	44342/44342	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%2261dd5d64-ad36%22	https://layerdrops.com/notechhtml/main-html/assets/vendors/owl-carousel/owl.carousel.min.js	/home/tp/websites/braino/layerdrops.com/notechhtml/main-html/assets/vendors/owl-carousel/owl.carousel.min.js	(from https://layerdrops.com/notechhtml/main-html/index-dark.html)
17:58:14	751262/751262	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261dd5d5a-b769e%22	https://layerdrops.com/notechhtml/main-html/assets/vendors/fontawesome/webfonts/fa-brands-400.svg	/home/tp/websites/braino/layerdrops.com/notechhtml/main-html/assets/vendors/fontawesome/webfonts/fa-brands-400.svg	(from https://layerdrops.com/notechhtml/main-html/assets/vendors/fontawesome/css/all.min.css)
17:58:14	10383/10383	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%2261dd5d68-288f%22	https://layerdrops.com/notechhtml/main-html/assets/vendors/vegas/vegas.min.js	/home/tp/websites/braino/layerdrops.com/notechhtml/main-html/assets/vendors/vegas/vegas.min.js	(from https://layerdrops.com/notechhtml/main-html/index-dark.html)
17:58:14	24909/24909	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%2261dd5d68-614d%22	https://layerdrops.com/notechhtml/main-html/assets/vendors/timepicker/timePicker.js	/home/tp/websites/braino/layerdrops.com/notechhtml/main-html/assets/vendors/timepicker/timePicker.js	(from https://layerdrops.com/notechhtml/main-html/index-dark.html)
17:58:14	457808/457808	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%2261dd5d62-6fc50%22	https://layerdrops.com/notechhtml/main-html/assets/vendors/jquery-ui/jquery-ui.js	/home/tp/websites/braino/layerdrops.com/notechhtml/main-html/assets/vendors/jquery-ui/jquery-ui.js	(from https://layerdrops.com/notechhtml/main-html/index-dark.html)
17:58:15	34350/34350	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22862e-5d54c01ae8a80%22	https://layerdrops.com/notechhtml/main-html/assets/vendors/fontawesome/webfonts/fa-regular-400.eot	/home/tp/websites/braino/layerdrops.com/notechhtml/main-html/assets/vendors/fontawesome/webfonts/fa-regular-400.eot	(from https://layerdrops.com/notechhtml/main-html/assets/vendors/fontawesome/css/all.min.css)
17:58:16	931/931	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%226202bc78-3a3%22	https://layerdrops.com/notechhtml/main-html/assets/vendors/toolbar/js/toolbar.js	/home/tp/websites/braino/layerdrops.com/notechhtml/main-html/assets/vendors/toolbar/js/toolbar.js	(from https://layerdrops.com/notechhtml/main-html/index-dark.html)
17:58:16	1722/1722	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%2261d442b0-6ba%22	https://layerdrops.com/notechhtml/main-html/assets/vendors/toolbar/js/js.cookie.min.js	/home/tp/websites/braino/layerdrops.com/notechhtml/main-html/assets/vendors/toolbar/js/js.cookie.min.js	(from https://layerdrops.com/notechhtml/main-html/index-dark.html)
17:58:16	2765/2765	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%225f1aefde-acd%22	https://layerdrops.com/notechhtml/main-html/assets/vendors/toolbar/js/jQuery.style.switcher.min.js	/home/tp/websites/braino/layerdrops.com/notechhtml/main-html/assets/vendors/toolbar/js/jQuery.style.switcher.min.js	(from https://layerdrops.com/notechhtml/main-html/index-dark.html)
